ID,CENTER,FY,SIC,NAICS,STATE,ANNUAL_SALES,EMPLOYEES,PLANT_AREA,ANNUAL_ELECTRICITY_COST,TOTAL_RECC_IMP_COST,TOTAL_RECC_SAVINGS,ROI_YRS,PRODUCTS,PRODUNITS,PRODLEVEL,PRODHOURS,NUMARS,num_reccs,ARC2,IMPSTATUS
AM0001,AM,1987,3671.0,,TX,33900000.0,206.0,,184985.0,15956.0,4479.0,3.562402321946863,MICRO & MINI COMPUTERS,1.0,310.0,2250.0,7,7,"2.8114,2.7142,2.7111,2.7447,2.7233,2.7111,2.7111","N,N,N,I,N,N,N"
AM0002,AM,1987,2761.0,,TX,25000000.0,156.0,,338359.0,73676.0,109532.0,0.6726436109995253,BUSINESS FORMS,,,2250.0,9,9,"2.6221,2.7226,2.6212,2.4111,2.7142,2.7142,2.7142,2.7133,2.7111","I,I,I,N,I,I,I,I,I"
AM0003,AM,1987,3494.0,,TX,15000000.0,200.0,,139480.0,15724.0,16001.0,0.9826885819636273,SAFETY JOINTS & VALVES,,,2250.0,8,8,"2.3212,2.7224,2.7111,2.4111,2.7142,2.7142,2.2437,2.7142","N,N,N,N,N,I,N,I"
AM0004,AM,1987,3713.0,,TX,4200000.0,75.0,,68986.0,22429.0,17607.0,1.2738683478162094,TRUCKS BEDS & TRAILERS,1.0,1000.0,2340.0,11,11,"2.6218,2.7142,2.7142,2.4236,2.7142,2.6232,2.6232,2.6212,2.7142,2.2437,2.8114","I,I,I,I,N,N,N,I,N,N,N"
AM0005,AM,1987,2024.0,,TX,12000000.0,39.0,,185065.0,7453.0,3402.0,2.1907701352145796,ICE CREAM,5.0,2000.0,2080.0,7,7,"2.7142,2.7142,2.7142,2.2449,2.4111,2.1233,2.8112","I,I,N,N,N,I,N"
AM0006,AM,1987,2048.0,,TX,11000000.0,50.0,,91441.0,16909.0,10405.0,1.6250840941854878,FEED & MEAT PROCESSING,3.0,35311.0,3222.0,6,6,"2.8114,3.7214,2.1233,2.4111,2.2511,2.6232","I,I,I,I,I,I"
AM0007,AM,1987,3559.0,,TX,25000000.0,75.0,,124715.0,10871.0,7880.0,1.3795685279187817,NG LIQUIDS PROCES EQUIPMENT,,,4420.0,5,5,"2.3212,2.4236,2.6212,2.7142,2.7142","I,N,I,I,I"
AM0008,AM,1987,2448.0,,TX,1900000.0,50.0,,78950.0,16509.0,9665.0,1.7081220900155198,"WOODEN PALLETS,VENEERS",,,2080.0,4,4,"2.7142,2.4236,2.4111,2.5194","I,I,I,N"
AM0009,AM,1987,2796.0,,TX,22000000.0,82.0,,261212.0,27195.0,27834.0,0.9770424660487174,LIGHOGRAPHIC PLATES,1.0,9000000.0,6816.0,4,4,"2.8114,2.7121,2.7142,2.1311","I,I,N,N"
AM0010,AM,1987,2752.0,,TX,30000000.0,312.0,,304881.0,3329.0,5699.0,0.584137567994385,LETHOGRAPHIC PRINTING,1.0,1407000.0,8736.0,4,4,"2.2437,2.7142,2.2711,2.7142","N,I,I,I"
AM0011,AM,1987,2673.0,,TX,13500000.0,70.0,,529510.0,51641.0,40545.0,1.2736712294980885,MISCELLANEOUS PLASTICS,2.0,31000000.0,8736.0,9,9,"2.3511,2.2511,2.4312,2.7142,2.2437,2.7142,2.4111,2.8114,2.6232","I,N,I,I,I,I,I,I,I"
AM0012,AM,1987,3089.0,,TX,11000000.0,150.0,,219879.0,68.0,15003.0,0.004532426847963741,PLASTIC HOUSEWARES,2.0,42000000.0,8736.0,5,5,"2.6212,2.7121,2.4312,2.4111,2.7142","I,N,N,I,N"
AM0013,AM,1987,3089.0,,TX,1900000.0,27.0,,50571.0,3381.0,3168.0,1.0672348484848484,INJECTION-MOLDED PLASTIC,1.0,3238000.0,5000.0,8,8,"2.2511,2.7142,2.4312,3.4154,2.7142,2.4231,2.4236,2.3191","I,I,I,I,I,I,I,N"
AM0014,AM,1987,3448.0,,TX,19000000.0,160.0,,43897.0,1511.0,3427.0,0.4409104172745842,PREFABRICATED METAL BUILDINGS,1.0,120.0,2600.0,8,8,"2.4236,2.7142,2.7111,2.4236,2.7261,2.2437,2.7133,2.7142","I,N,I,I,I,N,I,N"
AM0015,AM,1987,2865.0,,TX,1250000.0,11.0,,30119.0,4823.0,4590.0,1.0507625272331154,CONCENTRATE FOR PLASTICS,2.0,1000000.0,2340.0,7,7,"2.6218,2.2511,2.7111,2.7142,2.7261,2.4312,2.4111","I,N,N,N,N,N,N"
